country_name,date,action_form
austria,2007-01-11,"petitions, symbolic actions"
austria,2007-01-11,demonstrations
austria,2007-01-15,"petitions, symbolic actions"
austria,2007-01-21,demonstrations
austria,2007-02-01,violent protest
austria,2007-02-01,"confrontations, blockades"
austria,2007-02-14,demonstrations
austria,2007-02-14,"confrontations, blockades"
austria,2007-02-15,demonstrations
austria,2007-02-21,"confrontations, blockades"
austria,2007-02-21,"confrontations, blockades"
austria,2007-02-26,demonstrations
austria,2007-02-27,demonstrations
austria,2007-02-28,"confrontations, blockades"
austria,2007-02-28,"confrontations, blockades"
austria,2007-02-28,"confrontations, blockades"
austria,2007-02-28,"confrontations, blockades"
austria,2007-02-28,"confrontations, blockades"
austria,2007-02-28,"confrontations, blockades"
austria,2007-03-01,demonstrations
austria,2007-03-01,violent protest
austria,2007-03-01,other protest
austria,2007-03-14,"confrontations, blockades"
austria,2007-03-14,"confrontations, blockades"
austria,2007-03-14,"confrontations, blockades"
austria,2007-03-14,"confrontations, blockades"
austria,2007-03-14,"confrontations, blockades"
austria,2007-03-22,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-03-28,"confrontations, blockades"
austria,2007-04-04,demonstrations
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,demonstrations
austria,2007-04-11,"confrontations, blockades"
austria,2007-04-11,"petitions, symbolic actions"
austria,2007-04-21,"confrontations, blockades"
austria,2007-04-27,"confrontations, blockades"
austria,2007-04-27,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-11,"confrontations, blockades"
austria,2007-05-19,violent protest
austria,2007-05-23,demonstrations
austria,2007-05-27,demonstrations
austria,2007-06-02,"confrontations, blockades"
austria,2007-07-21,violent protest
austria,2007-08-01,demonstrations
austria,2007-09-01,"petitions, symbolic actions"
austria,2007-09-03,"petitions, symbolic actions"
austria,2007-09-03,"confrontations, blockades"
austria,2007-09-07,demonstrations
austria,2007-09-07,demonstrations
austria,2007-09-09,demonstrations
austria,2007-09-16,demonstrations
austria,2007-09-18,"petitions, symbolic actions"
austria,2007-09-27,other protest
austria,2007-09-27,"petitions, symbolic actions"
austria,2007-10-06,demonstrations
austria,2007-10-06,demonstrations
austria,2007-10-16,demonstrations
austria,2007-10-18,"petitions, symbolic actions"
austria,2007-10-25,demonstrations
austria,2007-10-28,demonstrations
austria,2007-10-29,violent protest
austria,2007-11-04,demonstrations
austria,2007-11-04,violent protest
austria,2007-11-10,demonstrations
austria,2007-11-12,demonstrations
austria,2007-12-18,"confrontations, blockades"
austria,2007-12-18,"confrontations, blockades"
austria,2008-01-01,other protest
austria,2008-01-01,violent protest
austria,2008-01-01,violent protest
austria,2008-01-01,violent protest
austria,2008-01-01,violent protest
austria,2008-01-15,other protest
austria,2008-01-26,demonstrations
austria,2008-02-24,violent protest
austria,2008-02-24,demonstrations
austria,2008-02-24,demonstrations
austria,2008-03-06,"confrontations, blockades"
austria,2008-03-12,violent protest
austria,2008-03-19,"petitions, symbolic actions"
austria,2008-03-20,demonstrations
austria,2008-03-20,"petitions, symbolic actions"
austria,2008-03-29,demonstrations
austria,2008-03-31,demonstrations
austria,2008-03-31,"petitions, symbolic actions"
austria,2008-03-31,"petitions, symbolic actions"
austria,2008-04-01,"petitions, symbolic actions"
austria,2008-04-01,demonstrations
austria,2008-04-08,demonstrations
austria,2008-04-09,"petitions, symbolic actions"
austria,2008-04-09,demonstrations
austria,2008-04-19,demonstrations
austria,2008-04-19,demonstrations
austria,2008-06-07,violent protest
austria,2008-06-08,other protest
austria,2008-06-16,strikes
austria,2008-06-26,"petitions, symbolic actions"
austria,2008-06-26,"petitions, symbolic actions"
austria,2008-07-07,"confrontations, blockades"
austria,2008-07-12,demonstrations
austria,2008-08-28,"petitions, symbolic actions"
austria,2008-08-31,other protest
austria,2008-08-31,"petitions, symbolic actions"
austria,2008-09-18,"petitions, symbolic actions"
austria,2008-09-18,demonstrations
austria,2008-10-13,"petitions, symbolic actions"
austria,2008-10-19,violent protest
austria,2008-10-24,violent protest
austria,2008-10-25,violent protest
austria,2008-10-25,demonstrations
austria,2008-11-12,"confrontations, blockades"
austria,2008-11-12,other protest
austria,2008-11-24,"petitions, symbolic actions"
austria,2008-12-10,strikes
austria,2008-12-10,"confrontations, blockades"
austria,2008-12-30,demonstrations
austria,2009-01-02,demonstrations
austria,2009-01-03,demonstrations
austria,2009-01-11,demonstrations
austria,2009-01-12,demonstrations
austria,2009-03-10,demonstrations
austria,2009-03-24,demonstrations
austria,2009-03-27,"petitions, symbolic actions"
austria,2009-03-28,demonstrations
austria,2009-05-01,demonstrations
austria,2009-05-01,violent protest
austria,2009-05-01,violent protest
austria,2009-05-01,demonstrations
austria,2009-05-01,demonstrations
austria,2009-05-09,violent protest
austria,2009-05-10,violent protest
austria,2009-05-13,demonstrations
austria,2009-05-24,demonstrations
austria,2009-05-24,violent protest
austria,2009-05-25,demonstrations
austria,2009-06-08,demonstrations
austria,2009-06-16,demonstrations
